Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.042568,0.13522,1.3343E-09,0,0,0,280.75,7.2507,-0.2876,9.589E-08,21.732,-4.5528E-10,18.194,0,0,0,0,0,0,package://Full_Assembly/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,0,0.01905,3.4075E-19,0,0,0,0.078767,2.2232E-05,-7.3652E-38,0,2.5409E-05,2.6094E-37,2.2232E-05,0,0,0,0,0,0,package://Full_Assembly/meshes/lidar_link.STL,0,0,0,1,0,0,0,0,0,0,package://Full_Assembly/meshes/lidar_link.STL,,LiDAR-1,Origin_lidar_joint,,lidar_joint,fixed,0,0,0.3175,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
left_steer_link,0,0.043131,0,0,0,0,0.075023,0.00017928,-3.4358E-20,-5.1901E-11,1.0082E-05,7.9416E-21,0.00018832,0,0,0,0,0,0,package://Full_Assembly/meshes/left_steer_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/left_steer_link.STL,,Left_Steering_Bracket-1,Origin_left_steer_joint,Axis_left_steer_joint,left_steer_joint,revolute,-0.2413,-0.2032,0,1.5708,0,3.1416,base_link,0,1,0,0,0,-0.5236,0.5236,,,,,,,,
front_left_axle_link,5.2736E-16,-0.054334,-0.01,0,0,0,1.036,0.0029361,-7.7184E-18,3.8376E-33,0.0038577,-4.5393E-19,0.0029361,0,0,0,0,0,0,package://Full_Assembly/meshes/front_left_axle_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/front_left_axle_link.STL,,Front_Left_Rim-1,Origin_front_left_axle_joint,Axis_front_left_axle_joint,front_left_axle_joint,continuous,0,0.01,0,1.5708,0,-3.1416,left_steer_link,0,1,0,,,,,,,,,,,,
front_left_tire_link,-8.3267E-17,2.7756E-17,0.0008,0,0,0,0.37299,0.0019089,-2.114E-35,1.2943E-19,0.0019089,-3.4216E-35,0.003329,0,0,0,0,0,0,package://Full_Assembly/meshes/front_left_tire_link.STL,0,0,0,1,0,0,0,0,0,0,package://Full_Assembly/meshes/front_left_tire_link.STL,,Front_Left_Tire-1,Origin_front_left_tire_joint,Axis_front_left_tire_joint,front_left_tire_joint,fixed,0,-0.05,-0.01,1.5707963267949,0,0,front_left_axle_link,0,0,0,,,,,,,,,,,,
right_steer_link,-2.7756E-17,0.06701,2.7756E-17,0,0,0,0.19303,0.00038533,-5.701E-20,-9.4666E-11,2.197E-05,6.2898E-21,0.0003944,0,0,0,0,0,0,package://Full_Assembly/meshes/right_steer_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/right_steer_link.STL,,Right_Steering_Bracket-1,Origin_right_steer_joint,Axis_right_steer_joint,right_steer_joint,revolute,-0.2413,0.2032,0,1.5708,0,3.1416,base_link,0,1,0,0,0,-0.7854,0.7854,,,,,,,,
front_right_axle_link,-2.7756E-17,-0.054334,-0.01,0,0,0,1.036,0.0029361,2.3255E-19,-8.9177E-35,0.0038577,2.9802E-19,0.0029361,0,0,0,0,0,0,package://Full_Assembly/meshes/front_right_axle_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/front_right_axle_link.STL,,Front_Right_Rim-1,Origin_front_right_axle_joint,Axis_front_right_axle_joint,front_right_axle_joint,continuous,0,0.01,0,-1.5708,0,0,right_steer_link,0,1,0,,,,,,,,,,,,
front_right_tire_link,0,2.7756E-17,-0.0008,0,0,0,0.37299,0.0019089,-2.114E-35,-1.2943E-19,0.0019089,-3.4216E-35,0.003329,0,0,0,0,0,0,package://Full_Assembly/meshes/front_right_tire_link.STL,0,0,0,1,0,0,0,0,0,0,package://Full_Assembly/meshes/front_right_tire_link.STL,,Front_Right_Tire-1,Origin_front_right_tire_joint,,front_right_tire_joint,fixed,0,-0.05,-0.01,1.5708,0,3.1416,front_right_axle_link,0,0,0,,,,,,,,,,,,
back_left_axle_link,-2.7756E-17,-0.098784,4.7288E-18,0,0,0,1.036,0.0029361,-1.4707E-35,-1.4444E-34,0.0038577,-5.055E-20,0.0029361,0,0,0,0,0,0,package://Full_Assembly/meshes/back_left_axle_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/back_left_axle_link.STL,,Back_Left_Rim-1,Origin_back_left_axle_joint,Axis_back_left_axle_joint,back_left_axle_joint,continuous,0.2413,-0.15875,0,-3.1416,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
back_left_tire_link,0,5.2624E-49,0,0,0,0,0.37299,0.0019089,-2.114E-35,1.2943E-19,0.0019089,-3.4216E-35,0.003329,0,0,0,0,0,0,package://Full_Assembly/meshes/back_left_tire_link.STL,0,0,0,1,0,0,0,0,0,0,package://Full_Assembly/meshes/back_left_tire_link.STL,,Back_Left_Tire-1,Origin_back_left_tire_joint,,back_left_tire_joint,fixed,0,-0.09525,0,-1.5708,0,3.1416,back_left_axle_link,0,0,0,,,,,,,,,,,,
back_right_axle_link,0,-0.098784,-1.6158E-17,0,0,0,1.036,0.0029361,-2.0473E-35,-2.4074E-34,0.0038577,4.8509E-20,0.0029361,0,0,0,0,0,0,package://Full_Assembly/meshes/back_right_axle_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/back_right_axle_link.STL,,Back_Right_Rim-1,Origin_back_left_axle_joint2,Axis_back_left_axle_joint2,back_left_axle_joint,continuous,0.2413,0.15875,0,0,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
back_right_tire_link,-5.5511E-17,-5.2624E-49,5.5511E-17,0,0,0,0.37299,0.0019089,-2.114E-35,-1.2943E-19,0.0019089,-3.4216E-35,0.003329,0,0,0,0,0,0,package://Full_Assembly/meshes/back_right_tire_link.STL,0,0,0,1,0,0,0,0,0,0,package://Full_Assembly/meshes/back_right_tire_link.STL,,Back_Right_Tire-1,Origin_back_right_tire_joint,,back_right_tire_joint,fixed,0,-0.09525,0,1.5708,0,3.1416,back_right_axle_link,0,0,0,,,,,,,,,,,,
trailer_link,-0.40342,0.073058,1.4023E-16,0,0,0,29.005,0.78342,-0.0011401,2.9449E-16,1.8779,-4.8707E-17,1.1574,0,0,0,0,0,0,package://Full_Assembly/meshes/trailer_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Full_Assembly/meshes/trailer_link.STL,,Trailer-1,Origin_trailer_joint,Axis_trailer_joint,trailer_joint,continuous,0.5334,0,0,1.5708,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
