Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000818930716522579,-0.000818930139439305,0.0140278111957652,0,0,0,0.365058052116186,0.00051380644225505,-1.25381433478329E-05,3.47062873674803E-08,0.000513806425545493,-3.47077199058619E-08,0.000833137426033134,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,,base_link-1,frame_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-2.01994143885152E-08,0.0147276350283187,0.0810226747554533,0,0,0,1.21747724894722,0.00255263718574973,7.20416731900228E-09,-3.70618686006579E-09,0.00210897804842468,-0.000297852263493,0.00266305849374601,0,0,0,0,0,0,package://robot_arm/meshes/link_1.STL,0.796078431372549,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_1.STL,,link_1-1,frame_0,joint_1_axis,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link_1_cap,1.42302771372066E-07,-0.00806677437392857,0.138671119640996,0,0,0,0.330021171721498,0.000313864807069818,1.39841178897165E-09,2.28303347219796E-10,0.000335340499862343,-7.39635181857418E-05,0.000541751266552296,0,0,0,0,0,0,package://robot_arm/meshes/link_1_cap.STL,0.482352941176471,0.792156862745098,1,1,0,0,0,0,0,0,package://robot_arm/meshes/link_1_cap.STL,,joint_cap-5,frame_0,joint_1_axis,link_1_cap_joint,fixed,0,0,0,0,0,0,link_1,0,0,0,,,,,,,,,,,,
link_2,5.28224377692258E-09,-0.212110309879065,0.129614412124911,0,0,0,4.0347772255313,0.112004707514996,1.49514812132019E-08,-4.44365415979749E-10,0.00580966202350412,1.87193857431351E-05,0.1121524014166,0,0,0,0,0,0,package://robot_arm/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_2.STL,,link_2-1,frame_1,joint_2_axis,joint_2,revolute,0,0,0.09,-1.5707963267949,0,0,link_1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link_2_cap_1,-1.42302772727024E-07,0.00806677437392862,0.183671119640996,0,0,0,0.330021171721499,0.000313864807069819,1.39841178841114E-09,-2.28303348779531E-10,0.000335340499862345,7.39635181857419E-05,0.000541751266552297,0,0,0,0,0,0,package://robot_arm/meshes/link_2_cap_1.STL,0.482352941176471,0.792156862745098,1,1,0,0,0,0,0,0,package://robot_arm/meshes/link_2_cap_1.STL,,joint_cap-6,frame_1,joint_1_axis,link_2_cap_1_joint,fixed,0,0,0,0,0,0,link_2,0,0,0,,,,,,,,,,,,
link_2_cap_2,1.42302768078402E-07,-0.433066774373929,0.183671119640996,0,0,0,0.330021171721498,0.000313864807069817,1.39841178881497E-09,2.28303347202352E-10,0.00033534049986234,-7.39635181857418E-05,0.000541751266552293,0,0,0,0,0,0,package://robot_arm/meshes/link_2_cap_2.STL,0.482352941176471,0.792156862745098,1,1,0,0,0,0,0,0,package://robot_arm/meshes/link_2_cap_2.STL,,joint_cap-4,frame_1,joint_1_axis,link_2_cap_2_joint,fixed,0,0,0,0,0,0,link_2,0,0,0,,,,,,,,,,,,
link_3,0.170735221821587,-3.25840811083973E-08,0.0224616676097575,0,0,0,2.32742946004391,0.00230746896110105,3.4207779530455E-08,0.00199952758100954,0.0464994251527757,-6.32534417374874E-10,0.0462634575355965,0,0,0,0,0,0,package://robot_arm/meshes/link_3.STL,0.788235294117647,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_3.STL,,link_3-1,frame_2,joint_3_axis,joint_3,revolute,0,-0.425,0,0,0,-1.5707963267949,link_2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link_3_cap,0.397027900194223,4.22453817605446E-09,-0.0224353204034724,0,0,0,0.129962415869425,6.00214466648602E-05,-3.03760968261969E-11,-9.23419401157055E-06,5.70550178521916E-05,-1.90648141611329E-11,9.13995513971888E-05,0,0,0,0,0,0,package://robot_arm/meshes/link_3_cap.STL,0.482352941176471,0.792156862745098,1,1,0,0,0,0,0,0,package://robot_arm/meshes/link_3_cap.STL,,joint_cap_2-4,frame_2,joint_2_axis,link_3_cap_joint,fixed,0,0,0,0,0,0,link_3,0,0,0,,,,,,,,,,,,
link_4,2.08868109703753E-08,-0.0104204825260419,0.00625096574296091,0,0,0,0.361403101490435,0.000347379241813699,-4.53086892636865E-10,1.81738584051007E-10,0.000274440792632068,-3.88893030652286E-05,0.000346423259403175,0,0,0,0,0,0,package://robot_arm/meshes/link_4.STL,0.796078431372549,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_4.STL,,link_4-2,frame_4,joint_4_axis,joint_4,revolute,0.39225,0,0.1099,1.5707963267949,0,1.5707963267949,link_3,0,-1,0,0,0,-3.1416,3.1416,,,,,,,,
link_4_cap,-4.22452399082911E-09,0.00477790019422317,-0.0376853204034723,0,0,0,0.129962415869424,5.70550178521915E-05,3.03760968441512E-11,1.90648139359578E-11,6.00214466648598E-05,-9.23419401157052E-06,9.13995513971885E-05,0,0,0,0,0,0,package://robot_arm/meshes/link_4_cap.STL,0.482352941176471,0.792156862745098,1,1,0,0,0,0,0,0,package://robot_arm/meshes/link_4_cap.STL,,joint_cap_2-5,frame_4,joint_4_axis,link_4_cap_joint,fixed,0,0,0,0,0,0,link_4,0,0,0,,,,,,,,,,,,
